event_id,beginUTC,magnitude,magnitude_type,event_narrative,episode_narrative,location_1_lat,location_1_lon
647088,7/9/2016 2:55,44,MG,"Fayetteville AWOS, KFYM, reported a 44 KT/51 mph gust with a thunderstorm.","A complex of thunderstorms pushed southeast through Southern Middle Tennessee on the evening of 7/8.  While no damage was reported, the thunderstorms produced wind gusts over 50 MPH, in southern Lincoln County.",35.0597,-86.564
638384,7/3/2016 23:50,45,MG,A tree was blown into power lines. A wind gust to 52 mph was measured nearby at the Murray-Calloway County airport.,"Multiple clusters of thunderstorms intensified during the heat of the day along and south of a warm front that arced over far southern Illinois and across southern Kentucky. The storms occurred ahead of an upper-level disturbance over eastern Missouri. A belt of stronger west-southwesterly winds aloft associated with the disturbance was sufficient for organized updrafts. A few embedded small-scale bow echoes and transient supercells were associated with isolated wind damage and a brief tornado. The severe weather event morphed into a heavy rain event during the evening hours, causing damaging flash floods in a few counties.",36.7289,-88.3616
626181,5/14/2016 4:01,48,MG,Thunderstorm wind gust of 55 mph was measured by the Big Spring AWOS.  Reports nearby had a couple of power poles snapped and some roof damage to a couple homes.  Damage costs are a rough estimate.,"West Texas and southeast New Mexico were sitting under the east side of an upper ridge that extended from central Mexico to the Pacific Northwest.  At the surface, a trough extended from northeast New Mexico through Iowa and it was bringing a steady flow of moisture back across the region.  Good instability and steep lapse rates helped support storms with an upper level disturbance that moved through the northwest flow aloft.  Storms that developed produced some large hail, damaging winds, and flash flooding.",32.1859,-101.5192
615356,2/15/2016 21:34,48,MG,nan,"Widespread severe weather occurred with a mix of damaging winds, hail and several tornadoes. The focus of the severe weather was across central and southern Mississippi.  This event was driven by a potent disturbance that swung across the area during the midday and afternoon hours. As this strong feature dropped into the Lower Mississippi River Valley, a surface low rapidly deepened as it tracked across central Mississippi. The atmospheric response to this was for a rapid increase in winds aloft and higher low level moisture. This combination set the stage for an unstable environment that contained high levels of wind shear which supported and sustained tornado development.",32.55,-88.57
633880,7/5/2016 4:20,50,MG,The Global Hydrology and Climate Center weather station at the NSSTC measured a wind gust of 58 mph.,"A band of thunderstorms produced damaging winds during the mid evening hours in northwest Alabama, in Lauderdale County.  Several trees were knocked down in the the Threet and Cloverdale areas and lightning caused a house fire near Oakland.  A wind gust up to 58 mph was measured at a weather station at the National Space Science and Technology Center.",34.7251,-86.6445
657977,7/13/2016 18:45,50,MG,"A line of severe storms moved through Callaway County. Numerous trees, tree limbs and power lines were blown down, especially in the New Bloomfield and Fulton areas.","A line of severe storms moved across the region during the afternoon hours of July 13th. There were numerous reports of wind damage with this line of storms. In Belleville (St. Clair County, Illinois), a man was electrocuted after the storms moved through when he made contact with a fence that was charged by a live downed power line while trying to move a fallen tree limb.",38.72,-92.1
632646,6/17/2016 9:23,50,MG,nan,"A slow-moving isolated supercell developed in Morton County along a weak cold front during the evening hours in an environment with very strong instability and significant low level moisture. The storm weakened in the late evening as additional storms moved out of southeast Montana into southwest North Dakota. The storms grew into a large bow echo that propagated northeast in a moisture rich environment, with a few supercells developing ahead of the bow. The greatest amount of damage occurred in the Bismarck area of Burleigh County, where very strong wind gusts combined with hail as large as baseballs causing extensive damage to northern portions of the city along with rural locations to the north. The strongest winds were reported in Hettinger County near Bert, where gusts to 80 mph occurred.",46.78,-100.76
638576,7/6/2016 19:05,50,MG,"There were scattered reports of downed trees in north central and northeast Marshall County. A wind gust to 58 mph was measured at the Kentucky mesonet site near Draffenville. Some isolated structural damage was reported in the area, mostly due to fallen trees. Several miles north of Fairdealing, trees were blown down near Kentucky Lake.",A line of thunderstorms produced sporadic wind damage in southeast Missouri. The line intensified as it approached the Mississippi River and began to bow out. Widespread damaging winds raked areas west of Kentucky Lake in the afternoon. The wind damage became more sporadic east of Kentucky Lake. The storms occurred ahead of a small-scale 500 mb shortwave over western Missouri. A moderately strong southwest wind flow of moist and very unstable air fueled the storms. Mixed-layer capes around 3000 j/kg fed into the southern end of the line of storms. Precipitable water values were near 2 inches.,36.9279,-88.35
630006,4/6/2016 22:19,50,MG,nan,Weak instability combined with strong upper level winds to produce isolated thunderstorms with gusty winds over central North Dakota. The strongest wind gust of 60 mph was recorded at Coleharbor.,47.65,-101.43
632499,6/10/2016 4:51,50,MG,nan,"Initial thunderstorms developed along a surface trough over northwest North Dakota and moved eastward through northern North Dakota during the afternoon of June 9, producing the first round of severe winds and hail. A more organized complex of severe thunderstorms developed in the evening and overnight hours of June 9, and continued into the early morning of June 10, as a well defined shortwave trough pushed into the region. Extensive damage occurred over parts of far northern North Dakota, particularly in Bottineau County. Wind gusts to around 100 mph in the city of Lansford caused extensive damage to the grain elevator and multiple portable and permanent structures. The largest hail reported was 1.75 inch diameter, and occurred in Divide and Mountrail counties.",47.65,-101.44
