event_id,beginUTC,magnitude,magnitude_type,event_narrative,episode_narrative,location_1_lat,location_1_lon
768808,6/22/2018 21:45,50,MS,nan,"During the afternoon storm activity from East Central Colorado spread into Northwest Kansas.  The storm intensity increased as the storms moved into Kansas, but turned into more of a wind threat than a hail threat.  The peak wind gust reported was 77 MPH measured at the Bird City airport.  The thunderstorms winds blew down power lines north of Blakeman in Rawlins County, and were responsible for blowing dust at a couple locations.  The largest hail size reported was nickel near Weskan.",39.1249,-100.5739
783347,8/12/2018 20:17,40,MG,Thunderstorm winds of just over 45 mph knocked down several palm fronds and blew unfastened lawn furniture around portions of the City of Brownsville to Los Fresnos.  Brownsville/South Padre Island International Airport recorded a wind gust of 46 mph at 2:17 PM CST.,"A rapidly developing line of thunderstorms raced northward through Cameron County east of US 77, creating gusts over 40 mph and causing minor damage to a few tree limbs, unfastened lawn furniture, and a few power lines.",25.92,-97.42
783759,9/17/2018 19:55,44,MG,Trees were blown down and onto power lines in Dodge Center. The automated weather observing equipment at the airport measured a wind gust of 51 mph.,"A line of thunderstorms moved across southeast Minnesota during the afternoon of September 17th. These storms mainly produced wind gusts in the 40 to 50 mph range, which was enough to cause some damage. Trees and power lines were blown down in Dodge Center (Dodge County), damaged a building roof in Goodview (Winona County) and blew down numerous trees in the city of Winona (Winona County). The storms also dropped about 2 inches of rain in less than hour in Winona that caused some street flooding to occur.",44.03,-92.85
783348,8/12/2018 20:32,45,MG,Thunderstorm winds of between 45 and 52 mph knocked down several palm fronds and blew unfastened lawn furniture around portions of the City of Los Fresnos to Harlingen.  Harlingen/Valley International Airport recorded a wind gust of 52 mph at 2:46 PM CST.,"A rapidly developing line of thunderstorms raced northward through Cameron County east of US 77, creating gusts over 40 mph and causing minor damage to a few tree limbs, unfastened lawn furniture, and a few power lines.",26.0761,-97.5003
772469,7/13/2018 20:31,47,MG,KMA radio station in Shenandoah reported a 54 mph wind gust and a downed power line.,Severe thunderstorms developed as a cold front moved into the area.,40.76,-95.37
769066,6/10/2018 20:53,49,MG,nan,Thunderstorms developed across the Florida panhandle and produced high winds and lightning strikes which caused damage.,30.47,-87.18
750948,6/16/2018 23:05,50,MG,"At 1705 CST, a Texas Tech University West Texas mesonet site four miles south of Levelland measured a wind gust to 58 mph. About 14 minutes later, the Hockley County Sheriffs department reported several instances of wind damage in town, including downed power lines and two metal roofs ripped off structures.",Deep tropical moisture streaming overhead from remnants of eastern Pacific tropical system Bud fueled isolated to scattered thunderstorms from eastern New Mexico into the South Plains on the afternoon of the 16th. Very warm near surface temperatures allowed a few of these thunderstorms to produce severe wind gusts. One such storm produced damage in the city of Levelland (Hockley County) which downed power lines and ripped metal roofs off two structures.,33.5221,-102.37
742142,4/3/2018 23:20,50,MG,"A 58 mph wind gust was measured 3 separate times at the Monroe Regional Airport. These gusts were measured at 620 pm, 622 pm, and 629 pm.","A warm front spread very warm, humid, and unstable air north across much of the Ark-La-Tex during April 2nd-3rd, ahead of an upper level trough of low pressure that entered the Southern Plains. A strong cold front ahead of this storm system moved into the region on the 3rd, with strong forcing within the warm sector along and ahead of the front resulting in scattered to numerous showers and thunderstorms as they organized into a squall line during the afternoon and evening. Some of these became severe, producing large hail and damaging winds across portions of North Louisiana. These showers and thunderstorms exited the region during the early evening hours of the 3rd.",32.5049,-92.0357
764395,5/29/2018 0:55,50,MG,nan,"The largest severe weather outbreak of the year began in the morning.  The storms activity spread west across Northwest Kansas, eventually expanding into Southwest Nebraska and East Central Colorado.  The first tornado of the day for Northwest Kansas occurred near Hill City.  No damage was reported from the tornado.  The largest hail size reported was golf ball size from multiple locations area.  Some of the thunderstorms did produce damaging wind gusts, which blew down power lines, large trees, and damaged farm buildings.  Flash Flooding occurred over Graham and Gove counties where prolonged moderate to heavy rain that began in the morning, lasted into the late evening.  The flash flooding caused some culverts along Highway 24 to be washed out.  The flooding was so significant water rescues were performed at a trailer park on the south side of Hill City, and 20 cattle drowned east of Bogue.  By the end of the day parts of Graham County had up to a foot of rainfall.",39.4301,-101.0512
763381,6/29/2018 7:03,50,MG,nan,"An extremely unstable atmosphere combined with very strong deep layer wind shear set the stage for intense thunderstorm development. Initially, thunderstorms were supercells, and formed along a warm front that lifted through North Dakota in the afternoon and evening hours. One of the supercell thunderstorms produced flash flooding in Dunn and Mercer counties, while another produced 3.50 inch diameter hail over Wells County. During the evening and overnight hours a line of intense thunderstorms developed along a cold front that swept into western North Dakota, and tracked eastward across the state. Widespread wind damage occurred throughout much of western and central North Dakota, but the strongest winds centralized generally along and about 20 miles north and south of Highway 200, where episodes of microburst enhanced winds occurred. Within this corridor, many grain bins were lost, farm buildings and campers damaged or destroyed, and trees uprooted or snapped. The greatest wind damage occurred near Stanton, Mercer County, where a microburst with estimated 130 mph winds destroyed a farm. One fatality occurred at Heckers Lake in McLean County as an individual was outside a camper, and the camper tipped over onto him. There were also four injuries in that area around New Johns and Heckers lakes where many campers were damaged or destroyed, some being blown into the lakes.",46.84,-100.25
758256,5/14/2018 22:51,50,MG,Thunderstorm winds blew down several large tree limbs in Weldon Springs. A large tree limb was blown down near the intersection of Hwy 370 and Elm Street.,An MCV moved across northern Missouri and thunderstorms developed ahead of it. There were numerous reports of damaging winds with these storms.,38.7178,-90.6939
763151,6/29/2018 3:11,50,MG,nan,"An extremely unstable atmosphere combined with very strong deep layer wind shear set the stage for intense thunderstorm development. Initially, thunderstorms were supercells, and formed along a warm front that lifted through North Dakota in the afternoon and evening hours. One of the supercell thunderstorms produced flash flooding in Dunn and Mercer counties, while another produced 3.50 inch diameter hail over Wells County. During the evening and overnight hours a line of intense thunderstorms developed along a cold front that swept into western North Dakota, and tracked eastward across the state. Widespread wind damage occurred throughout much of western and central North Dakota, but the strongest winds centralized generally along and about 20 miles north and south of Highway 200, where episodes of microburst enhanced winds occurred. Within this corridor, many grain bins were lost, farm buildings and campers damaged or destroyed, and trees uprooted or snapped. The greatest wind damage occurred near Stanton, Mercer County, where a microburst with estimated 130 mph winds destroyed a farm. One fatality occurred at Heckers Lake in McLean County as an individual was outside a camper, and the camper tipped over onto him. There were also four injuries in that area around New Johns and Heckers lakes where many campers were damaged or destroyed, some being blown into the lakes.",48.17,-103.11
763226,6/29/2018 5:33,50,MG,nan,"An extremely unstable atmosphere combined with very strong deep layer wind shear set the stage for intense thunderstorm development. Initially, thunderstorms were supercells, and formed along a warm front that lifted through North Dakota in the afternoon and evening hours. One of the supercell thunderstorms produced flash flooding in Dunn and Mercer counties, while another produced 3.50 inch diameter hail over Wells County. During the evening and overnight hours a line of intense thunderstorms developed along a cold front that swept into western North Dakota, and tracked eastward across the state. Widespread wind damage occurred throughout much of western and central North Dakota, but the strongest winds centralized generally along and about 20 miles north and south of Highway 200, where episodes of microburst enhanced winds occurred. Within this corridor, many grain bins were lost, farm buildings and campers damaged or destroyed, and trees uprooted or snapped. The greatest wind damage occurred near Stanton, Mercer County, where a microburst with estimated 130 mph winds destroyed a farm. One fatality occurred at Heckers Lake in McLean County as an individual was outside a camper, and the camper tipped over onto him. There were also four injuries in that area around New Johns and Heckers lakes where many campers were damaged or destroyed, some being blown into the lakes.",46.86,-101.43
766866,7/8/2018 23:39,50,MG,nan,"Thunderstorms developed along a surface boundary that was draped across eastern and central parts of North Dakota. One thunderstorm became severe over Dickey County, near Oakes, producing extensive damage in that area. The largest hail was the size of a baseball, and the strongest wind gust was estimated to be 85 mph.",46.08,-98.09
760523,5/3/2018 1:58,50,MG,A trained spotter measured 58 mph winds.,"On the evening of May 2, 2018 a line of strong storms moved through eastern Kansas. While strong storms occurred across the entire eastern part of the state, the strongest impacts were felt within the Kansas City Metro area, where a EF-1 tornado formed in Overland Park, causing a fair amount of damage in the form of widespread tree damage, some structure damage to local schools, and numerous power lines and power poles were destroyed. The line of storms continued into western Missouri, where they went on to produce more tornadoes and scattered wind damage.",38.75,-95
755973,6/1/2018 23:39,50,MG,nan,"A strong short-wave trough pushed into the Northern Plains, with severe storms initiating over eastern Montana into northeast Wyoming. Severe thunderstorms eventually pushed into North Dakota, where very strong instability and deep layer shear were noted. There were five tornadoes.",47.65,-101.43
765949,6/2/2018 8:24,50,MG,ASOS in St. Joseph recorded a 58 mph wind gust.,"During the overnight hours leading up to the morning of June 2, a line of thunderstorms moved through northwest Missouri, heading southeast toward the Kansas City Metro Area. These storms then moved into the KC Metro, causing widespread wind damage across the area. One of the hardest hit areas was downtown Lees Summit, where numerous large trees were snapped, as 70-80 mph winds went through the city center.",39.7737,-94.9082
765955,6/2/2018 9:55,50,MG,The public measured 58 mph gust.,"A line of strong storms pushed through the area during the early morning hours on June 2. Most of the damage across the KC Metro occurred on the Missouri side, but numerous locations in far eastern Kansas got hit with strong damaging winds.",38.87,-94.74
756321,6/11/2018 0:30,50,MG,nan,"Thunderstorms developed over western North Dakota along a slow moving cold front in a region of strong instability. The storms became severe and moved into central North Dakota before weakening. The largest hail was golf ball size, and fell in both Mountrail and Ward Counties. The strongest wind gust of 66 mph was measured in Morton County.",48.03,-101.96
763138,6/29/2018 2:11,50,MG,nan,"An extremely unstable atmosphere combined with very strong deep layer wind shear set the stage for intense thunderstorm development. Initially, thunderstorms were supercells, and formed along a warm front that lifted through North Dakota in the afternoon and evening hours. One of the supercell thunderstorms produced flash flooding in Dunn and Mercer counties, while another produced 3.50 inch diameter hail over Wells County. During the evening and overnight hours a line of intense thunderstorms developed along a cold front that swept into western North Dakota, and tracked eastward across the state. Widespread wind damage occurred throughout much of western and central North Dakota, but the strongest winds centralized generally along and about 20 miles north and south of Highway 200, where episodes of microburst enhanced winds occurred. Within this corridor, many grain bins were lost, farm buildings and campers damaged or destroyed, and trees uprooted or snapped. The greatest wind damage occurred near Stanton, Mercer County, where a microburst with estimated 130 mph winds destroyed a farm. One fatality occurred at Heckers Lake in McLean County as an individual was outside a camper, and the camper tipped over onto him. There were also four injuries in that area around New Johns and Heckers lakes where many campers were damaged or destroyed, some being blown into the lakes.",48.17,-103.11
766787,7/8/2018 6:35,50,MG,nan,"A strong short wave trough pushed into southwest North Dakota during the late evening hours of July 7 where it encountered a moisture rich atmosphere with very strong instability. Two areas of thunderstorms developed producing severe wind gusts, with one storm becoming long lived as it tracked from far southwest North Dakota into the central part of the state. As moisture and instability increased towards the east, the severe thunderstorm winds increased resulting in many incidents of damage along its path. The strongest wind gust of 92 mph was measured in Kidder County near Robinson.",46.33,-100.28
764704,6/27/2018 13:27,50,MG,nan,"A cluster of thunderstorms developed on the nose of the low-level jet across central South Dakota and progressed east and southeast during the late overnight and early morning hours.  Before storms outraced the greater elevated instability axis and weakened, a few storms made use of the effective shear of 30-35 knots and produced severe hail and wind.",43.77,-99.32
784832,9/20/2018 22:15,50,MG,nan,"In the wake of excessive overnight rainfall, another round of thunderstorms developed along a cold frontal boundary across northwest Iowa. Deep unidirectional wind shear of 50-60 knots and up to 2000 J/kg MLCAPE with strong frontal forcing yielded a linear structure.  Large DCAPE contributed to outflow development, and as storm orientation evolved, a localized QLCS tornado developed near Superior.",43.1682,-95.2101
749228,4/14/2018 4:29,50,MG,nan,A line of thunderstorms produced an isolated severe wind event during the late evening hours of April 13th.,35.83,-90.65
765869,6/2/2018 10:17,50,MG,nan,A decaying complex of thunderstorms produced several damaging wind reports during the early morning hours of June 2nd. Several of these reports occurred well behind the initial outflow boundary.,38.34,-96.2
767181,6/4/2018 8:19,50,MG,nan,Isolated to scattered showers and thunderstorms developed along a dryline and along a cold front. This activity resulted in a few strong to severe thunderstorms that produced large hail and damaging winds.,32.31,-99.98
767183,6/4/2018 8:20,50,MG,nan,Isolated to scattered showers and thunderstorms developed along a dryline and along a cold front. This activity resulted in a few strong to severe thunderstorms that produced large hail and damaging winds.,32.43,-99.85
766350,6/12/2018 4:28,50,MG,nan,A line of thunderstorms moved south-southeast across the forecast area during the evening hours of June 11th. Numerous reports of large hail and damaging winds were relayed to the office.,39.08,-95.62
769209,6/18/2018 22:54,50,MG,Measured by official observing equipment.,A few storms moved across central Kansas producing a few severe events on the 18th and 19th.,38.02,-97.94
770320,6/25/2018 7:16,50,MG,Wind was measured at Strother field airport.,A few isolated severe reports over a few days were noted across central Kansas.,37.17,-97.04
756266,6/27/2018 4:01,50,MG,The 50-knot/58-mph gust was measured at a mesonet station 4.5 miles northeast of Conway Springs.,"A few thunderstorms developed in Central Kansas in the morning, primarily over Barton County where golf ball-sized hail was reported 5 miles south/southwest of Great Bend. That afternoon and evening, the severe thunderstorms increased considerably as a weak cold front moved across South-Central and Southeast Kansas into a moisture-rich environment. Both large hail, which at times was very large, was the primary severe weather mode early in the event while damaging winds were the dominant mode as the event progressed. One rapidly developing thunderstorm did produce a strong tornado over Greenwood County that touched down on the southwest side of Eureka.  The tornado tore a path through town from southwest to northeast, producing EF3 damage on the northeast side of town.  Eight injuries occurred with the tornado but fortunately none were life-threatening.",37.46,-97.62
768272,6/28/2018 23:40,50,MG,nan,"Showers and thunderstorms developed in a moist and unstable airmass across southern West Tennessee and Northeast Mississippi during the afternoon and evening hours on June 28, 2018. There were several reports of damaging winds and large hail.",34.27,-88.77
770027,6/30/2018 22:49,50,MG,The gust was measured at 300 West & 10 Roads.,"Scattered thunderstorms, several that were severe, broke out across Kansas late in the afternoon and continued well into the night. The severe thunderstorms were prolific wind producers as 60-70 mph speeds were reported in many areas throughout the event.",37.15,-98.07
776307,7/19/2018 20:23,50,MG,The wind gust was observed at Billard Airport.,An intense complex of thunderstorms moved across the area during the morning and early afternoon hours of July 19th. Several reports of wind speeds greater than 70 MPH were received.,39.08,-95.63
735553,2/21/2018 4:59,50,MG,The automated observing system at the Cape Girardeau airport measured a wind gust to 58 mph.,"A line of developing showers and thunderstorms moved east across southeast Missouri. Locally strong winds accompanied this line of storms, including a 58 mph gust at the Cape Girardeau airport. The line of convection occurred along a cold front that trailed southwest from a surface low pressure center over lower Michigan.",37.23,-89.57
736599,2/25/2018 3:44,50,MG,The peak wind gust at Bowling Green Regional Airport was 50 kts.,"A stalled frontal boundary interacting with highly anomalous moisture from the Gulf of Mexico interacted with multiple weather systems that brought widespread heavy rainfall and severe thunderstorms to central Kentucky February 24 through the early morning hours February 25. A Flash Flood Emergency was issued for Jefferson County, KY including Louisville metro. There were over 50 water rescues alone in Jefferson County that evening. Widespread flash flooding occurred with most streams and creeks reaching record levels.   In addition, across south central Kentucky, 7 tornadoes developed along a warm front during the afternoon and evening hours. The strongest tornado was an EF-2 that tracked over 11 miles in Logan County and tragically killed a woman in her home. As a squall line moved through during the late evening and early morning hours, damaging winds occurred across central Kentucky.",36.96,-86.43
743582,4/3/2018 22:29,50,MG,"A wind gust to 58 mph was measured at the Cape Girardeau Regional Airport, along with one-quarter mile visibility in heavy rain.","An organized outbreak of severe thunderstorms occurred. Most of the severe weather reports were generated by two intense storm clusters. The first cluster crossed the Ozark foothills between Van Buren and Doniphan, then proceeded due east across Poplar Bluff and Dexter to the Mississippi River. This cluster occasionally acquired supercell characteristics. Large hail from 1 to 3 inches in diameter was common during most of its life cycle in southeast Missouri. A couple of tornadoes were spawned as well. A second less intense cluster moved east across southern Bollinger and Cape Girardeau Counties. This cluster produced hail up to the size of golf balls and an isolated wind gust up to near 60 mph. The severe storm outbreak occurred ahead of a  cold front that accelerated east-southeast toward the mid Mississippi Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of deepening convection ahead of the front. Steep mid-level lapse rates and strong effective wind shear promoted some very large hail within discrete storm cells.",37.2389,-89.5536
751615,4/3/2018 22:29,50,MG,nan,Numerous thunderstorms produced swaths of large hail across much of central and eastern Arkansas. Baseball sized hail east of Heber Springs was the largest hail reported during this event. There were also some isolated reports of damaging wind across the state of Arkansas.,35.6388,-91.1773
749392,4/4/2018 2:15,50,MG,A wind gust of 58 mph was measured at the Springfield Airport KM91 AWOS.,"Numerous showers and thunderstorms spread across Middle Tennessee during the evening hours on April 3. Many of these storms were strong to severe, with widespread reports of damaging winds and a few reports of large hail. Prior to the storms, gusty southwest gradient winds up to 45 mph during the afternoon and early evening hours cause some minor wind damage in a few areas.",36.53,-86.92
748796,4/14/2018 0:05,50,MG,AWOS in Fort Dodge recorded a 58 mph wind gust.,"A tight low pressure system tracked its way out of north central Kansas on the 12th and slowly meandered northeast near the Nebraska, Kansas, Iowa borders by the early afternoon on the 13th.  A relatively stationary warm front draped itself across far southern Iowa, separating temperatures in the upper 70s to the south and 50s to low 60s to the north of the boundary respectively by the afternoon.  With the triple point in west to southwest Iowa, storms had little issue initiating by the mid-afternoon hours, quickly growing downstream both south and north of the warm front. With much of the Iowa north of the front, storms were elevated in nature, but produced large amounts of hail and damaging winds. The severe reports began just before 4pm and storms continued to remain near-severe to severe well into the evening, eventually transitioning away from hail as the primary threat and towards damaging winds.  Even as the severe storm threat diminished very strong winds remained, including gusts in excess of 60 mph, in the presence of a very tight surface pressure gradient. The same system produced blizzard conditions across northern Iowa on the 14th. Please see the separate entry for the blizzard portion of this event.",42.55,-94.19
750630,5/2/2018 21:56,50,MG,nan,"Several discrete supercells formed off a dryline in the eastern parts of the panhandles in the late afternoon of the 2nd. These storms moved eastward through the evening, eventually congealing into a line before coming across central Oklahoma. QLCS tornadoes became a significant hazard at this point. After this round of storms made its way out of the area, scattered storms began to form from central Texas up into south western Oklahoma overnight, moving generally northeast into the early morning hours.",34.67,-99.28
746146,5/2/2018 23:01,50,MG,nan,Severe storms erupted along the dryline during the late afternoon and continued into the  early morning hours of May 3rd.  The storms resulted in several reports of damaging winds and large hail across West Central Texas.,33.34,-99.67
